date|datetime_friendly|user_id|page_name|content_name|Video Start|Video Completes|Video 25%|Video 50%|Video 75%|Audio Start|Audio Completes|Audio 25%|Audio 50%|Audio 75%|platform|market
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Lovingkindness for caregivers: compassion and equanimity (6 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Body affirmations (15 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Living a centered life (6 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Why spreading kindness matters (3 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Morning meditation (1 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Lovingkindness for caregivers: realizing you can't fix it all (7 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Hypnosis for sleep (10 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Building self-compassion (8 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Offer lovingkindness to the world (8 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Lower body stretches (5 min)|1|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
