#|Country,Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|NewRecovered|ActiveCases|Serious,Critical|Tot Cases/1M pop|Deaths/1M pop|TotalTests|"Tests/1M pop"|Population|Continent|1 Caseevery X ppl|1 Deathevery X ppl|1 Testevery X ppl|New Cases/1M pop|New Deaths/1M pop|Active Cases/1M pop
36|Hungary|811,121|+340|30,052|+6|771,530|+1,753|9,539|10|84,208|3,120|6,492,441|674,024|9,632,358|Europe|12|321|1|35|0.6|990
37|Morocco|810,949||11,792||724,545||74,612|1,442|21,678|315|8,642,296|231,024|37,408,659|Africa|46|3,172|4|||1,995
38|Jordan|789,474||10,293||766,871||12,310|652|76,511|998|8,997,227|871,951|10,318,498|Asia|13|1,002|1|||1,193
39|Switzerland|752,761||10,941||700,097||41,723|146|86,259|1,254|9,481,152|1,086,448|8,726,741|Europe|12|798|1|||4,781
40|Nepal|747,433||10,509||698,173||38,751||25,138|353|3,830,691|128,838|29,732,721|Asia|40|2,829|8|||1,303
41|Kazakhstan|743,220|+6,314|8,415|+113|615,816|+5,097|118,989|221|39,050|442|11,575,012|608,174|19,032,410|Asia|26|2,262|2|332|6|6,252
42|Serbia|742,313||7,214||715,825||19,274|31|85,351|829|4,903,335|563,783|8,697,200|Europe|12|1,206|2|||2,216
43|UAE|709,378||2,020||690,926||16,432||70,751|201|71,909,314|7,171,964|10,026,447|Asia|14|4,964|0|||1,639
44|Austria|677,603|+1,077|10,763|+1|654,355|+791|12,485|77|74,750|1,187|74,116,688|8,176,166|9,064,969|Europe|13|842|0|119|0.1|1,377
45|Tunisia|640,897||22,537||592,041||26,319|630|53,589|1,884|2,469,723|206,508|11,959,453|Africa|19|531|5|||2,201
46|Lebanon|592,156||8,011||544,863||39,282|54|87,203|1,180|4,759,054|700,834|6,790,555|Asia|11|848|1|||5,785
47|Cuba|583,299||4,544||530,211||48,544|505|51,534|401|7,490,885|661,813|11,318,729|North America|19|2,491|2|||4,289
48|Greece|559,186||13,351||508,081||37,754|318|53,950|1,288|14,730,200|1,421,157|10,364,936|Europe|19|776|1|||3,642
49|Saudi Arabia|541,994||8,481||528,636||4,877|1,156|15,297|239|26,897,052|759,145|35,430,697|Asia|65|4,178|1|||138
50|Georgia|517,098|+2,354|6,831|+60|453,488|+5,200|56,779||129,910|1,716|7,715,357|1,938,323|3,980,429|Asia|8|583|1|591|15|14,265
51|Ecuador|495,115||31,985||443,880||19,250|759|27,586|1,782|1,719,064|95,781|17,947,873|South America|36|561|10|||1,073
52|Bolivia|486,643|+249|18,302|+6|427,631|+770|40,710|220|41,052|1,544|2,224,611|187,664|11,854,244|South America|24|648|5|21|0.5|3,434
53|Belarus|469,717||3,681||463,599||2,437||49,728|390|7,660,634|811,012|9,445,777|Europe|20|2,566|1|||258
54|Paraguay|457,725||15,571||435,179||6,975|180|63,289|2,153|1,751,877|242,230|7,232,280|South America|16|464|4|||964
55|Panama|452,598||7,009||436,285||9,304|108|103,050|1,596|3,587,112|816,730|4,392,039|North America|10|627|1|||2,118
56|Bulgaria|441,295||18,475||401,642||21,178|202|64,061|2,682|4,014,833|582,813|6,888,716|Europe|16|373|2|||3,074
57|Costa Rica|440,647||5,312||354,010||81,325|420|85,611|1,032|1,968,955|382,536|5,147,106|North America|12|969|3|||15,800
58|Guatemala|439,253||11,500||377,554||50,199|5|24,013|629|2,093,500|114,447|18,292,377|North America|42|1,591|9|||2,744
59|Kuwait|408,245||2,404||401,317||4,524|153|94,013|554|3,675,455|846,404|4,342,436|Asia|11|1,806|1|||1,042
60|Slovakia|394,093|+11|12,547||380,512|+19|1,034|11|72,143|2,297|3,277,867|600,050|5,462,659|Europe|14|435|2|2||189
61|Azerbaijan|391,506||5,308||345,783||40,415||38,221|518|4,319,841|421,724|10,243,281|Asia|26|1,930|2|||3,946
62|Sri Lanka|390,000||7,366||323,390||59,244||18,126|342|4,575,585|212,664|21,515,607|Asia|55|2,921|5|||2,754
63|Uruguay|384,094||6,016||376,711||1,367|18|110,136|1,725|3,270,618|937,823|3,487,456|South America|9|580|1|||392
64|Myanmar|373,685||14,374||298,875||60,436||6,816|262|3,426,209|62,493|54,825,469|Asia|147|3,814|16|||1,102
65|Croatia|369,838|+73|8,303|+2|359,099|+330|2,436|42|90,727|2,037|2,470,457|606,044|4,076,363|Europe|11|491|2|18|0.5|598
66|Vietnam|348,059||8,277||147,667||192,115||3,539|84|15,271,562|155,299|98,336,244|Asia|283|11,881|6|||1,954
67|Dominican Republic|347,835||3,989||338,997||4,849|133|31,703|364|1,928,791|175,795|10,971,805|North America|32|2,751|6|||442
68|Denmark|337,466||2,566||321,556||13,344|20|58,029|441|79,692,682|13,703,593|5,815,459|Europe|17|2,266|0|||2,295
69|Ireland|337,117||5,074||285,451||46,592|59|67,415|1,015|6,415,912|1,283,031|5,000,591|Europe|15|986|1|||9,317
70|Honduras|326,830||8,594||105,153||213,083|552|32,411|852|945,963|93,810|10,083,814|North America|31|1,173|11|||21,131
71|Palestine|326,310||3,637||314,452||8,221|31|62,319|695|2,074,147|396,123|5,236,114|Asia|16|1,440|3|||1,570
72|Venezuela|325,716||3,895||311,746||10,075|681|11,492|137|3,359,014|118,509|28,343,992|South America|87|7,277|8|||355
