datetime|datetime_friendly|prop28|prop31|prop16|prop8|event16
2021-04-28|Wed. 28 Apr. 2021|OIAM_53fd22a0-daba-4378-a24d-160a14e0f76c|Android|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|a3336f51-31b6-4864-9630-1c4dad84c5ab|iOS|::unspecified::|rewards|1
2021-04-28|Wed. 28 Apr. 2021|21c4b1a9-d43d-43e0-8475-b62e79bf4b39|Android|::unspecified::|rewards|1
2021-04-28|Wed. 28 Apr. 2021|95fbcbe4-d1eb-4780-b989-382614f3e372|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|OIAM_5d8fc15d-7c59-4dfa-acf0-845b053e2a0c|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|5ffb2949-b18e-4bf2-91f6-16cb1e3b0ac4|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|45baf81b-c364-4f48-bfa9-75bef12e6faa|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|ffc40816-432a-467a-b584-89b73adcb897|Android|::unspecified::|rewards|1
2021-04-28|Wed. 28 Apr. 2021|085f32b2-62a4-454a-bcb1-d382a82ca966|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|3af409cf-6d0e-49ae-950b-875b8deb7d21|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|a3c9f496-ef92-446f-ae5c-fb9f4aee1e91|iOS|::unspecified::|rewards|1
2021-04-28|Wed. 28 Apr. 2021|90d07722-27ea-4435-9390-e36b8bd55abb|iOS|"Take the First Step||This challenge ends soon. Make sure you track!"|challengeEnding|1
2021-04-28|Wed. 28 Apr. 2021|d0de93de-74fa-4931-9b2f-2c9b02c80302|Android|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|0520adcb-31ff-489f-8cd4-179454eb4356|iOS|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|976ab612-cd43-4f59-abff-619aff88d783|iOS|::unspecified::|rewards|1
