datetime|datetime_friendly|prop28|event110|cm300007853_5ebcb03b9005f6248a063d1f|cm300007853_5ebcb00d9005f6248a063d1b|cm300007853_5ebcafaa04dd2673d5b06ecb|evar54|evar55|evar80
2021-06-12 00:00:00|Sat. 12 Jun. 2021|5014fde9-41b3-4f8e-8998-0da0c3fb1e70|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|d0aed149-198e-4567-bda5-2cf12a8364ce|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|c2ef3b61-035f-4dd0-b3ac-4afaa41f2f1a|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|5a9ca8ea-40eb-446f-9ad4-0938804f8e2d|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|0197cd40-639b-4005-ac01-fae05cb8759e|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|456014b8-be9d-48c3-91c9-389874caf4f1|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|e9121580-6e63-40f4-b542-c5c9959f56d0|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|24e8972b-7997-40e5-b3ef-2acc6ea19c54|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|da5e852f-fae2-4950-aa94-a383cea045f4|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|65212e86-7231-48de-81f4-0677efa51bb1|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|9ae51703-54d4-4a3a-8cad-6a671101bd34|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|5716ed60-06ad-4f0a-bfca-8950789478ea|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|4f396cce-aa0e-418e-ad8d-f2bc4ba66aac|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|bab43810-d929-441c-bd4d-6e32c9704450|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|OIAM_04e9c298-69bc-4205-84d3-0f2ad7875c0d|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|58bbfeae-b0db-4e3d-a77a-2593caedf038|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|OIAM_1f15bc55-babf-4438-ad55-184e1e921f17|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|f0e2f812-38e6-4256-a37a-2d3729a332e8|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|f53fb298-12be-4770-b35a-268fb4f26bbc|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|2e38958d-ba68-4ddf-85ef-50965203eaaa|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|OIAM_c61c63e6-e7ff-4437-976a-3444e08911e0|0|0|0|0|||
2021-06-12 00:00:00|Sat. 12 Jun. 2021|05d1a94e-df8b-4f94-9634-e971eb06ef1d|0|0|0|0|||
