date|user_id|platform|market|content_type|content_id|content_name|metric_name|metric_value|guid
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6195710559001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6195690745001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6199261898001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6276935011001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6276933212001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6245790428001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6245786983001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6228759443001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6228442690001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6276933251001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6276936512001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6228468825001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6228468824001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6228825612001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6276935357001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6195719070001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6276936513001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6228439657001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6249001336001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6228439649001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6276935655001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6256962723001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6195726099001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6256962252001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6199253209001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6228757551001|::unspecified::|Pageviews|1|
2022-01-12|7e5b58a9-3725-42ce-9399-771adaecdf0b|Web|US|VIDEO|6260641998001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6195710559001|::unspecified::|Pageviews|2|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6228463337001|::unspecified::|Pageviews|2|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6260642088001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6249001338001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6276932745001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6276935666001|::unspecified::|Pageviews|1|
2022-01-12|ae8df877-64a9-40ac-8f38-08c231ef5b78|Web|US|VIDEO|6195718743001|::unspecified::|Pageviews|1|
