date|prop28|prop31|prop16|prop8|event_name|event_value
2021-04-28|ae1deb0e-0bf3-40b0-bd37-11004d5e6a68|Android|"Walk at Lunch Day Challenge|none|This challenge ends soon. Make sure you track!"|challengeEnding|event91|1
2021-04-28|0fc8371f-66f5-464e-9d5f-6a12892e8561|Android|"Congratulations!|none|See what you just earned."|insights|event92|3
2021-04-28|82bea524-b26a-43d4-95b9-f9326d892280|Android|"Congratulations!|none|See what you just earned."|insights|event92|4
2021-04-28|be4c0175-9143-4899-afad-816a045c3405|Android|"Take the First Step has now started.|none|Start Tracking!"|challenges|event92|1
2021-04-28|OIAM_c0a54939-2dce-40a8-bf13-4872c92a7cc3|Android|"Meet your weight loss goals with Scale Back|none|Enroll now and receive a FREE digital scale. Attend"|none|event92|1
2021-04-28|b70a30d4-4d0e-43f0-b49b-3852bc335659|Android|"Take the First Step|none|This challenge ends soon. Make sure you track!"|challengeEnding|event92|2
2021-04-28|50c43095-fe9b-416b-b21b-b38929481889|Android|"Take the First Step|none|This challenge ends soon. Make sure you track!"|challengeEnding|event92|1
2021-04-28|17ff8fba-58f5-4ae0-9937-46a18f7d212d|Android|"Combate à COVID-19|none|Neste momento da pandemia, a colaboração individual e coletiva é essenci"|none|event92|1
2021-04-28|bf6c37bd-91f1-4776-8763-b1570cd5a032|Android|"Meet your weight loss goals with Scale Back|none|Enroll now and receive a FREE digital scale. Attend"|none|event92|1
2021-04-28|dc07632e-714e-41ff-abdc-9b8dcec55f35|Android|"Take the First Step|none|This challenge ends soon. Make sure you track!"|challengeEnding|event92|1
2021-04-28|39b6c72d-a6c4-4935-a216-9edf64d78f1d|Android|"Combate à COVID-19|none|Neste momento da pandemia, a colaboração individual e coletiva é essenci"|none|event92|1
2021-04-28|39217377-72fd-4caf-803c-01f967db4a21|Android|"Take the First Step|none|This challenge ends soon. Make sure you track!"|challengeEnding|event92|1
2021-04-28|bf53e51f-c821-4b01-8c6b-1e76dcd60a31|Android|"Take the First Step has now started.|none|Start Tracking!"|challenges|event92|1
2021-04-28|c66dde91-cbc0-4630-9817-a14b42e265e9|Android|"Combate à COVID-19|none|Neste momento da pandemia, a colaboração individual e coletiva é essenci"|none|event92|1
2021-04-28|0c7781c4-4bc1-42f4-87fa-4eef52b0f5a6|Android|"Meet your weight loss goals with Scale Back|none|Enroll now and receive a FREE digital scale. Attend"|none|event92|1
