entity|metric_id|count|Missing_month|max_met|min_met
9500044|1000049|5|2022-04,2022-03,2022-02,2022-01,2021-12|261.0|5.0
9500044|100002100|6|2022-04,2022-03,2022-02,2022-01,2021-12,2021-11,2021-10|625.0|3.0

