date|user_id|market|platform|PageName|Content_Type|Content_Name|EventName|metric_value|guid
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Build better sex (5 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Build better connections (5 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Build better trust (4 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Stepping out of habit loops (27 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Lovingkindness for caregivers: realizing you can't fix it all (7 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Breathing meditation to calm yourself in the moment (9 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Offer lovingkindness to the world (8 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Forest stream (15 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Offer lovingkindness to your people (8 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Habit loops (18 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Ocean (15 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Offer lovingkindness to yourself (8 min)|Video 25%|1|
2022-01-12|6ff7f5af-727f-4786-b6ad-3843850bbd2d|US|Web|::unspecified::|Video|Sardinian minestrone (2 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Pain (5 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Let confidence lead your parent-teacher meeting (3 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Cardio challenge: level 1 (8 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|BBQ chicken dinner bowl (1 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Breakfast smoothie (1 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Meet deadlines with calm (3 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Healthy Cobb lunch salad (1 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Be present for your presentation (3 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Relaxation techniques (6 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Ease your COVID-19 transition (5 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Physical benefits of relaxation (5 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Stress (5 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Bring grace to tough talks (4 min)|Video 25%|1|
2022-01-12|32199f55-1bd2-41d4-9346-ff77b6e95fda|US|Web|::unspecified::|Video|Cardio challenge: level 2 (10 min)|Video 25%|1|
